"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3305362,"KEG Asia Private Limited",32473634,"DOMESTOS RIM BLOCK OCEAN 9X55G","2/17/2023","UINT0000019809",0,1095,603,"HPC"
"TGIC",3305371,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/15/2021","SYS15018117",0,1095,241,"HPC"
"TGIC",3305372,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/15/2021","SYS15018116",0,1095,241,"HPC"
"TGIC",3305381,"KEG Asia Private Limited",67924141,"DOVE DP FCL HYDRATING SHEET MASK 28X27ML","5/26/2023","SYS15568168",1092,720,301,"HPC"
"TGIC",3305381,"KEG Asia Private Limited",67924141,"DOVE DP FCL HYDRATING SHEET MASK 28X27ML","5/26/2023","SYS15568169",672,720,301,"HPC"
"TGIC",3305382,"KEG Asia Private Limited",67924141,"DOVE DP FCL HYDRATING SHEET MASK 28X27ML","5/26/2023","SYS15568167",1764,1080,581,"HPC"
"TGIC",3305391,"KEG Asia Private Limited",68411482,"DOVE BW 2020UI SENSITIVE SKIN 12X1000ML","7/15/2024","UINT0000037169",0,912,800,"HPC"
"TGIC",3305392,"KEG Asia Private Limited",68411482,"DOVE BW 2020UI SENSITIVE SKIN 12X1000ML","7/15/2024","UINT0000037168",0,730,558,"HPC"
"TGIC",3305401,"KEG Asia Private Limited",67589951,"DOVE HAND & BODY LOTN REPLNSHNG 12X500ML","12/3/2022","SYS15642761",612,900,611,"HPC"
"TGIC",3305402,"KEG Asia Private Limited",67589951,"DOVE HAND & BODY LOTN REPLNSHNG 12X500ML","12/3/2022","SYS15642762",840,900,611,"HPC"
"TGIC",3305411,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/6/2022","SYS15683219",4320,720,61,"HPC"
"TGIC",3305421,"KEG Asia Private Limited",67752692,"DOVE DRMASPA XGN TCH RVG LP PSH 4X6X10ML","7/28/2022","SYS15637763",3240,730,321,"HPC"
"TGIC",3305422,"KEG Asia Private Limited",67752692,"DOVE DRMASPA XGN TCH RVG LP PSH 4X6X10ML","7/28/2022","SYS15637764",3240,730,321,"HPC"
"TGIC",3305431,"KEG Asia Private Limited",68411494,"DOVE 2020UI LAVENDER HYDRATION 12X1000G","7/14/2024","UINT0000037699",0,913,771,"HPC"
"TGIC",3305432,"KEG Asia Private Limited",68411494,"DOVE 2020UI LAVENDER HYDRATION 12X1000G","7/14/2024","UINT0000037700",0,720,506,"HPC"
"TGIC",3305441,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680980",3360,720,-29,"HPC"
"TGIC",3305442,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","2/15/2022","SYS15680977",3600,1080,168,"HPC"
"TGIC",3305451,"KEG Asia Private Limited",67752696,"DOVE DERMASPA GDNS NRSNG LP BLM 4X6X7.8G","8/12/2022","SYS15604065",2520,730,387,"HPC"
"TGIC",3305452,"KEG Asia Private Limited",67752696,"DOVE DERMASPA GDNS NRSNG LP BLM 4X6X7.8G","8/12/2022","SYS15604064",3240,730,389,"HPC"
"TGIC",3305461,"KEG Asia Private Limited",67095035,"DOVE DEEP PURE FC FOAM 4X6X100G","7/3/2023","SYS15592414",4200,912,431,"HPC"
